"variable","population_size","weighting_scheme","estimate","prevalence_pct","y_F_H","d_F_F","sample_size","warning"
"document_withholding_nsum",50000,"unweighted",1453.48837209302,2.90697674418605,0.3125,10.75,80,""
"document_withholding_nsum",1e+05,"unweighted",2906.97674418605,2.90697674418605,0.3125,10.75,80,""
"document_withholding_nsum",980000,"unweighted",28488.3720930233,2.90697674418605,0.3125,10.75,80,""
"document_withholding_nsum",1740000,"unweighted",50581.3953488372,2.90697674418605,0.3125,10.75,80,""
"pay_issues_nsum",50000,"unweighted",2325.58139534884,4.65116279069767,0.5,10.75,80,""
"pay_issues_nsum",1e+05,"unweighted",4651.16279069767,4.65116279069767,0.5,10.75,80,""
"pay_issues_nsum",980000,"unweighted",45581.3953488372,4.65116279069767,0.5,10.75,80,""
"pay_issues_nsum",1740000,"unweighted",80930.2325581395,4.65116279069767,0.5,10.75,80,""
"threats_abuse_nsum",50000,"unweighted",2325.58139534884,4.65116279069767,0.5,10.75,80,""
"threats_abuse_nsum",1e+05,"unweighted",4651.16279069767,4.65116279069767,0.5,10.75,80,""
"threats_abuse_nsum",980000,"unweighted",45581.3953488372,4.65116279069767,0.5,10.75,80,""
"threats_abuse_nsum",1740000,"unweighted",80930.2325581395,4.65116279069767,0.5,10.75,80,""
"excessive_hours_nsum",50000,"unweighted",2500,5,0.5375,10.75,80,""
"excessive_hours_nsum",1e+05,"unweighted",5000,5,0.5375,10.75,80,""
"excessive_hours_nsum",980000,"unweighted",49000,5,0.5375,10.75,80,""
"excessive_hours_nsum",1740000,"unweighted",87000,5,0.5375,10.75,80,""
"access_to_help_nsum",50000,"unweighted",1976.74418604651,3.95348837209302,0.425,10.75,80,""
"access_to_help_nsum",1e+05,"unweighted",3953.48837209302,3.95348837209302,0.425,10.75,80,""
"access_to_help_nsum",980000,"unweighted",38744.1860465116,3.95348837209302,0.425,10.75,80,""
"access_to_help_nsum",1740000,"unweighted",68790.6976744186,3.95348837209302,0.425,10.75,80,""
"document_withholding_nsum",50000,"rds_I_document_withholding",1870.84649592798,3.74169299185595,0.33961625334919,9.07653979330714,80,""
"document_withholding_nsum",1e+05,"rds_I_document_withholding",3741.69299185595,3.74169299185595,0.33961625334919,9.07653979330714,80,""
"document_withholding_nsum",980000,"rds_I_document_withholding",36668.5913201883,3.74169299185595,0.33961625334919,9.07653979330714,80,""
"document_withholding_nsum",1740000,"rds_I_document_withholding",65105.4580582936,3.74169299185595,0.33961625334919,9.07653979330714,80,""
"pay_issues_nsum",50000,"rds_I_document_withholding",2754.35359391412,5.50870718782824,0.500000000000001,9.07653979330714,80,""
"pay_issues_nsum",1e+05,"rds_I_document_withholding",5508.70718782824,5.50870718782824,0.500000000000001,9.07653979330714,80,""
"pay_issues_nsum",980000,"rds_I_document_withholding",53985.3304407167,5.50870718782824,0.500000000000001,9.07653979330714,80,""
"pay_issues_nsum",1740000,"rds_I_document_withholding",95851.5050682113,5.50870718782824,0.500000000000001,9.07653979330714,80,""
"threats_abuse_nsum",50000,"rds_I_document_withholding",2754.35359391412,5.50870718782823,0.500000000000001,9.07653979330714,80,""
"threats_abuse_nsum",1e+05,"rds_I_document_withholding",5508.70718782823,5.50870718782823,0.500000000000001,9.07653979330714,80,""
"threats_abuse_nsum",980000,"rds_I_document_withholding",53985.3304407167,5.50870718782823,0.500000000000001,9.07653979330714,80,""
"threats_abuse_nsum",1740000,"rds_I_document_withholding",95851.5050682113,5.50870718782823,0.500000000000001,9.07653979330714,80,""
"excessive_hours_nsum",50000,"rds_I_document_withholding",2982.2694705622,5.9645389411244,0.541373750478456,9.07653979330714,80,""
"excessive_hours_nsum",1e+05,"rds_I_document_withholding",5964.5389411244,5.9645389411244,0.541373750478456,9.07653979330714,80,""
"excessive_hours_nsum",980000,"rds_I_document_withholding",58452.4816230191,5.9645389411244,0.541373750478456,9.07653979330714,80,""
"excessive_hours_nsum",1740000,"rds_I_document_withholding",103782.977575565,5.9645389411244,0.541373750478456,9.07653979330714,80,""
"access_to_help_nsum",50000,"rds_I_document_withholding",2298.52184061796,4.59704368123591,0.417252499043089,9.07653979330714,80,""
"access_to_help_nsum",1e+05,"rds_I_document_withholding",4597.04368123591,4.59704368123591,0.417252499043089,9.07653979330714,80,""
"access_to_help_nsum",980000,"rds_I_document_withholding",45051.0280761119,4.59704368123591,0.417252499043089,9.07653979330714,80,""
"access_to_help_nsum",1740000,"rds_I_document_withholding",79988.5600535048,4.59704368123591,0.417252499043089,9.07653979330714,80,""
"document_withholding_nsum",50000,"rds_I_pay_issues",1444.62782916486,2.88925565832973,0.313398424930925,10.8470298925399,80,""
"document_withholding_nsum",1e+05,"rds_I_pay_issues",2889.25565832973,2.88925565832973,0.313398424930925,10.8470298925399,80,""
"document_withholding_nsum",980000,"rds_I_pay_issues",28314.7054516313,2.88925565832973,0.313398424930925,10.8470298925399,80,""
"document_withholding_nsum",1740000,"rds_I_pay_issues",50273.0484549372,2.88925565832973,0.313398424930925,10.8470298925399,80,""
"pay_issues_nsum",50000,"rds_I_pay_issues",2351.16139754144,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"pay_issues_nsum",1e+05,"rds_I_pay_issues",4702.32279508288,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"pay_issues_nsum",980000,"rds_I_pay_issues",46082.7633918122,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"pay_issues_nsum",1740000,"rds_I_pay_issues",81820.4166344421,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"threats_abuse_nsum",50000,"rds_I_pay_issues",2351.16139754144,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"threats_abuse_nsum",1e+05,"rds_I_pay_issues",4702.32279508288,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"threats_abuse_nsum",980000,"rds_I_pay_issues",46082.7633918122,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"threats_abuse_nsum",1740000,"rds_I_pay_issues",81820.4166344421,4.70232279508288,0.510062359226355,10.8470298925399,80,""
"excessive_hours_nsum",50000,"rds_I_pay_issues",2519.2158209242,5.0384316418484,0.546520186306483,10.8470298925399,80,""
"excessive_hours_nsum",1e+05,"rds_I_pay_issues",5038.4316418484,5.0384316418484,0.546520186306483,10.8470298925399,80,""
"excessive_hours_nsum",980000,"rds_I_pay_issues",49376.6300901144,5.0384316418484,0.546520186306483,10.8470298925399,80,""
"excessive_hours_nsum",1740000,"rds_I_pay_issues",87668.7105681622,5.0384316418484,0.546520186306483,10.8470298925399,80,""
"access_to_help_nsum",50000,"rds_I_pay_issues",1981.92182504453,3.96384365008906,0.429959305618704,10.8470298925399,80,""
"access_to_help_nsum",1e+05,"rds_I_pay_issues",3963.84365008906,3.96384365008906,0.429959305618704,10.8470298925399,80,""
"access_to_help_nsum",980000,"rds_I_pay_issues",38845.6677708728,3.96384365008906,0.429959305618704,10.8470298925399,80,""
"access_to_help_nsum",1740000,"rds_I_pay_issues",68970.8795115497,3.96384365008906,0.429959305618704,10.8470298925399,80,""
"document_withholding_nsum",50000,"rds_I_threats_abuse",1485.31238005216,2.97062476010432,0.323383517550153,10.8860439693769,80,""
"document_withholding_nsum",1e+05,"rds_I_threats_abuse",2970.62476010432,2.97062476010432,0.323383517550153,10.8860439693769,80,""
"document_withholding_nsum",980000,"rds_I_threats_abuse",29112.1226490223,2.97062476010432,0.323383517550153,10.8860439693769,80,""
"document_withholding_nsum",1740000,"rds_I_threats_abuse",51688.8708258151,2.97062476010432,0.323383517550153,10.8860439693769,80,""
"pay_issues_nsum",50000,"rds_I_threats_abuse",2371.50096847709,4.74300193695418,0.51632527632523,10.8860439693769,80,""
"pay_issues_nsum",1e+05,"rds_I_threats_abuse",4743.00193695418,4.74300193695418,0.51632527632523,10.8860439693769,80,""
"pay_issues_nsum",980000,"rds_I_threats_abuse",46481.4189821509,4.74300193695418,0.51632527632523,10.8860439693769,80,""
"pay_issues_nsum",1740000,"rds_I_threats_abuse",82528.2337030027,4.74300193695418,0.51632527632523,10.8860439693769,80,""
"threats_abuse_nsum",50000,"rds_I_threats_abuse",2383.998067493,4.76799613498601,0.519046155712769,10.8860439693769,80,""
"threats_abuse_nsum",1e+05,"rds_I_threats_abuse",4767.99613498601,4.76799613498601,0.519046155712769,10.8860439693769,80,""
"threats_abuse_nsum",980000,"rds_I_threats_abuse",46726.3621228629,4.76799613498601,0.519046155712769,10.8860439693769,80,""
"threats_abuse_nsum",1740000,"rds_I_threats_abuse",82963.1327487566,4.76799613498601,0.519046155712769,10.8860439693769,80,""
"excessive_hours_nsum",50000,"rds_I_threats_abuse",2533.74216734298,5.06748433468595,0.5516485728152,10.8860439693769,80,""
"excessive_hours_nsum",1e+05,"rds_I_threats_abuse",5067.48433468595,5.06748433468595,0.5516485728152,10.8860439693769,80,""
"excessive_hours_nsum",980000,"rds_I_threats_abuse",49661.3464799223,5.06748433468595,0.5516485728152,10.8860439693769,80,""
"excessive_hours_nsum",1740000,"rds_I_threats_abuse",88174.2274235355,5.06748433468595,0.5516485728152,10.8860439693769,80,""
