"indicator_clean","method_clean","method_type","estimate_pct","se_pct","ci_lower_pct","ci_upper_pct","estimate_with_ci","uncertainty_clean","convergence_info"
"Overall exploitation indicator","RDS-I","frequentist",100,NA,NA,NA,"100.0% (CI not available)","Asymptotic","No info"
"Overall exploitation indicator","RDS-SS","frequentist",97.2452234141699,2.15129688212836,92.1558820218085,100,"97.2% (92.2–100.0)","Bootstrap","No info"
"Overall exploitation indicator","RDS-SS","frequentist",97.2452234141699,2.15129688212836,92.1558820218085,100,"97.2% (92.2–100.0)","Bootstrap","No info"
"Overall exploitation indicator","RDS-SS","frequentist",97.2452234141699,2.15129688212836,92.1558820218085,100,"97.2% (92.2–100.0)","Bootstrap","No info"
"Overall exploitation indicator","RDS-II","frequentist",97.2452234141699,2.0945727629248,92.4067606063684,100,"97.2% (92.4–100.0)","Bootstrap","No info"
"Excessive working hours","RDS-I","frequentist",92.7528926734306,NA,NA,NA,"92.8% (CI not available)","Asymptotic","No info"
"Excessive working hours","RDS-II","frequentist",83.7284529663637,5.44109612146183,71.8798552348005,93.4005206669143,"83.7% (71.9–93.4)","Bootstrap","No info"
"Excessive working hours","RDS-SS","frequentist",83.7284529663637,5.47287427560684,71.9481060993557,93.0120575620132,"83.7% (71.9–93.0)","Bootstrap","No info"
"Excessive working hours","RDS-SS","frequentist",83.7284529663637,5.47287427560684,71.9481060993557,93.0120575620132,"83.7% (71.9–93.0)","Bootstrap","No info"
"Excessive working hours","RDS-SS","frequentist",83.7284529663637,5.47287427560684,71.9481060993557,93.0120575620132,"83.7% (71.9–93.0)","Bootstrap","No info"
"Threats and abuse","RDS-I","frequentist",65.2240884240738,NA,NA,NA,"65.2% (CI not available)","Asymptotic","No info"
"Limited access to help","RDS-II","frequentist",59.3632888454803,7.55941303909042,44.1259965042909,73.728940205993,"59.4% (44.1–73.7)","Bootstrap","No info"
"Limited access to help","RDS-SS","frequentist",59.3632888454803,7.50718407492367,44.0753620982794,73.6061641620057,"59.4% (44.1–73.6)","Bootstrap","No info"
"Limited access to help","RDS-SS","frequentist",59.3632888454803,7.50718407492367,44.0753620982794,73.6061641620057,"59.4% (44.1–73.6)","Bootstrap","No info"
"Limited access to help","RDS-SS","frequentist",59.3632888454803,7.50718407492367,44.0753620982794,73.6061641620057,"59.4% (44.1–73.6)","Bootstrap","No info"
"Pay-related issues","RDS-I","frequentist",59.3007502644538,NA,NA,NA,"59.3% (CI not available)","Asymptotic","No info"
"Limited access to help","RDS-I","frequentist",57.7340378591833,NA,NA,NA,"57.7% (CI not available)","Asymptotic","No info"
"Threats and abuse","RDS-II","frequentist",57.22487861393,7.99460101506222,41.7095331461422,73.1978062350829,"57.2% (41.7–73.2)","Bootstrap","No info"
"Threats and abuse","RDS-SS","frequentist",57.22487861393,7.94597423535416,42.2624123105126,72.7882697579446,"57.2% (42.3–72.8)","Bootstrap","No info"
"Threats and abuse","RDS-SS","frequentist",57.22487861393,7.94597423535416,42.2624123105126,72.7882697579446,"57.2% (42.3–72.8)","Bootstrap","No info"
"Threats and abuse","RDS-SS","frequentist",57.22487861393,7.94597423535416,42.2624123105126,72.7882697579446,"57.2% (42.3–72.8)","Bootstrap","No info"
"Pay-related issues","RDS-II","frequentist",49.6527013804293,7.86194630518904,34.8534251849037,65.3467842367102,"49.7% (34.9–65.3)","Bootstrap","No info"
"Pay-related issues","RDS-SS","frequentist",49.6527013804293,7.84823786042027,34.3910098117327,65.4043354021078,"49.7% (34.4–65.4)","Bootstrap","No info"
"Pay-related issues","RDS-SS","frequentist",49.6527013804293,7.84823786042027,34.3910098117327,65.4043354021078,"49.7% (34.4–65.4)","Bootstrap","No info"
"Pay-related issues","RDS-SS","frequentist",49.6527013804293,7.84823786042027,34.3910098117327,65.4043354021078,"49.7% (34.4–65.4)","Bootstrap","No info"
"Document withholding","RDS-I","frequentist",49.4048070335575,NA,NA,NA,"49.4% (CI not available)","Asymptotic","No info"
"Composite risk score","RDS-I","frequentist",39.7894989053748,NA,NA,NA,"39.8% (CI not available)","Asymptotic","No info"
"Composite risk score","RDS-II","frequentist",36.9097054893396,3.39453400426445,30.3834135615764,43.7550768197848,"36.9% (30.4–43.8)","Bootstrap","No info"
"Composite risk score","RDS-SS","frequentist",36.9097054893395,3.30997787309617,30.8744744883039,43.550775010828,"36.9% (30.9–43.6)","Bootstrap","No info"
"Composite risk score","RDS-SS","frequentist",36.9097054893395,3.30997787309617,30.8744744883039,43.550775010828,"36.9% (30.9–43.6)","Bootstrap","No info"
"Composite risk score","RDS-SS","frequentist",36.9097054893395,3.30997787309617,30.8744744883039,43.550775010828,"36.9% (30.9–43.6)","Bootstrap","No info"
"Document withholding","RDS-II","frequentist",34.2444965586162,7.6106789506531,19.7103931317511,49.3084075743775,"34.2% (19.7–49.3)","Bootstrap","No info"
"Document withholding","RDS-SS","frequentist",34.2444965586162,7.57751820956474,19.7135729781788,49.5930305896012,"34.2% (19.7–49.6)","Bootstrap","No info"
"Document withholding","RDS-SS","frequentist",34.2444965586162,7.57751820956474,19.7135729781788,49.5930305896012,"34.2% (19.7–49.6)","Bootstrap","No info"
"Document withholding","RDS-SS","frequentist",34.2444965586162,7.57751820956474,19.7135729781788,49.5930305896012,"34.2% (19.7–49.6)","Bootstrap","No info"
